parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
11000000	5500	2000	11	1	1	comp:drift	7.96	3.98	6.75	2000.0	16.25
11000000	5500	2000	11	1	1	comp:histo	9.94	4.97	4.14	2000.0	20.3
11000000	5500	2000	11	1	1	comp:kick	24.78	12.39	8.46	2000.0	50.62
11000000	5500	2000	11	1	1	Other	0.24	233.93	0.0	1.0	0.48
11000000	5500	2000	11	1	1	total_time	49.05	49052.19	0.0	1.0	100.0
12000000	6000	2000	12	1	1	comm:bcast	0.37	0.06	26.52	6001.0	0.76
12000000	6000	2000	12	1	1	comm:gather	0.16	153.56	0.0	1.0	0.32
12000000	6000	2000	12	1	1	comm:histo_extra	1.12	0.56	233.3	2000.0	2.32
12000000	6000	2000	12	1	1	comm:recv_task	4.31	0.36	3918.08	12004.0	8.35
12000000	6000	2000	12	1	1	comm:scatter	0.22	225.78	0.0	1.0	0.46
12000000	6000	2000	12	1	1	comp:drift	7.63	3.82	10.39	2000.0	15.75
12000000	6000	2000	12	1	1	comp:histo	10.02	5.01	4.3	2000.0	20.61
12000000	6000	2000	12	1	1	comp:kick	24.76	12.38	8.14	2000.0	50.94
12000000	6000	2000	12	1	1	Other	0.24	244.22	0.0	1.0	0.5
12000000	6000	2000	12	1	1	total_time	48.84	48844.18	0.0	1.0	100.0
13000000	6500	2000	13	1	1	comm:bcast	0.32	0.05	29.94	6001.0	0.66
13000000	6500	2000	13	1	1	comm:gather	0.11	107.29	0.0	1.0	0.22
13000000	6500	2000	13	1	1	comm:histo_extra	0.98	0.49	217.76	2000.0	2.03
13000000	6500	2000	13	1	1	comm:recv_task	4.38	0.36	2174.11	12004.0	8.85
13000000	6500	2000	13	1	1	comm:scatter	1.12	1123.98	0.0	1.0	2.2
13000000	6500	2000	13	1	1	comp:drift	7.43	3.72	2.76	2000.0	15.59
13000000	6500	2000	13	1	1	comp:histo	9.59	4.8	4.72	2000.0	20.06
13000000	6500	2000	13	1	1	comp:kick	23.84	11.92	7.14	2000.0	49.92
13000000	6500	2000	13	1	1	Other	0.22	219.47	0.0	1.0	0.46
13000000	6500	2000	13	1	1	total_time	47.99	47989.97	0.0	1.0	100.0
14000000	7000	2000	14	1	1	comm:bcast	0.32	0.05	20.94	6001.0	0.64
14000000	7000	2000	14	1	1	comm:gather	0.16	165.04	0.0	1.0	0.32
