parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
37000000	18500	2000	37	1	4	comp:kick	30.37	15.19	12.56	2000.0	34.05
37000000	18500	2000	37	1	4	Other	0.4	398.9	0.0	1.0	0.45
37000000	18500	2000	37	1	4	total_time	89.24	89236.21	0.0	1.0	100.0
39000000	19500	2000	39	1	4	comm:bcast	0.5	0.08	41.93	6001.0	0.75
39000000	19500	2000	39	1	4	comm:gather	0.39	389.79	0.0	1.0	0.59
39000000	19500	2000	39	1	4	comm:histo_extra	11.41	5.71	62.1	2000.0	17.13
39000000	19500	2000	39	1	4	comm:recv_task	5.53	0.46	760.27	12004.0	8.32
39000000	19500	2000	39	1	4	comm:scatter	1.39	1388.26	0.0	1.0	2.08
39000000	19500	2000	39	1	4	comp:drift	9.16	4.58	25.57	2000.0	13.73
39000000	19500	2000	39	1	4	comp:histo	10.84	5.42	13.58	2000.0	16.25
39000000	19500	2000	39	1	4	comp:kick	27.15	13.58	9.98	2000.0	40.73
39000000	19500	2000	39	1	4	Other	0.28	280.03	0.0	1.0	0.42
39000000	19500	2000	39	1	4	total_time	66.65	66652.28	0.0	1.0	100.0
41000000	20500	2000	41	1	4	comm:bcast	0.33	0.05	28.26	6001.0	0.61
41000000	20500	2000	41	1	4	comm:gather	0.44	443.18	0.0	1.0	0.83
41000000	20500	2000	41	1	4	comm:histo_extra	2.49	1.24	129.81	2000.0	4.63
41000000	20500	2000	41	1	4	comm:recv_task	2.74	0.23	2637.29	12004.0	5.03
41000000	20500	2000	41	1	4	comm:scatter	5.11	5108.04	0.0	1.0	9.3
41000000	20500	2000	41	1	4	comp:drift	7.89	3.94	3.84	2000.0	14.68
41000000	20500	2000	41	1	4	comp:histo	10.01	5.0	2.07	2000.0	18.61
41000000	20500	2000	41	1	4	comp:kick	24.67	12.33	8.08	2000.0	45.89
41000000	20500	2000	41	1	4	Other	0.22	219.01	0.0	1.0	0.41
41000000	20500	2000	41	1	4	total_time	53.89	53886.77	0.0	1.0	100.0
43000000	21500	2000	43	1	4	comm:bcast	0.33	0.05	28.26	6001.0	0.59
43000000	21500	2000	43	1	4	comm:gather	0.51	506.3	0.0	1.0	0.92
43000000	21500	2000	43	1	4	comm:histo_extra	2.62	1.31	136.33	2000.0	4.72
43000000	21500	2000	43	1	4	comm:recv_task	2.39	0.2	3084.49	12004.0	4.3
43000000	21500	2000	43	1	4	comm:scatter	5.8	5804.19	0.0	1.0	10.42
43000000	21500	2000	43	1	4	comp:drift	8.42	4.21	4.16	2000.0	15.24
43000000	21500	2000	43	1	4	comp:histo	10.06	5.03	3.69	2000.0	18.19
43000000	21500	2000	43	1	4	comp:kick	25.01	12.5	8.94	2000.0	45.22
43000000	21500	2000	43	1	4	Other	0.22	223.82	0.0	1.0	0.4
43000000	21500	2000	43	1	4	total_time	55.36	55362.38	0.0	1.0	100.0
45000000	22500	2000	45	1	4	comm:bcast	0.33	0.06	25.8	6001.0	0.65
45000000	22500	2000	45	1	4	comm:gather	0.48	481.62	0.0	1.0	0.94
45000000	22500	2000	45	1	4	comm:histo_extra	3.22	1.61	85.22	2000.0	6.31
45000000	22500	2000	45	1	4	comm:recv_task	3.55	0.3	2560.76	12004.0	6.95
45000000	22500	2000	45	1	4	comm:scatter	1.84	1844.47	0.0	1.0	3.57
45000000	22500	2000	45	1	4	comp:drift	7.57	3.79	3.43	2000.0	14.79
45000000	22500	2000	45	1	4	comp:histo	9.89	4.94	2.29	2000.0	19.33
45000000	22500	2000	45	1	4	comp:kick	24.04	12.02	7.85	2000.0	47.01
