parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
20000000	10000	2000	21	1	2	comp:histo	9.33	4.67	2.93	2000.0	20.39
20000000	10000	2000	21	1	2	comp:kick	23.59	11.79	8.62	2000.0	51.53
20000000	10000	2000	21	1	2	Other	0.22	219.12	0.0	1.0	0.48
20000000	10000	2000	21	1	2	total_time	45.78	45775.36	0.0	1.0	100.0
20000000	10000	2000	23	1	2	comm:bcast	0.31	0.05	25.5	6001.0	0.73
20000000	10000	2000	23	1	2	comm:gather	0.21	205.82	0.0	1.0	0.48
20000000	10000	2000	23	1	2	comm:histo_extra	2.01	1.0	168.68	2000.0	4.74
20000000	10000	2000	23	1	2	comm:recv_task	2.8	0.23	1707.02	12004.0	6.61
20000000	10000	2000	23	1	2	comm:scatter	0.51	508.53	0.0	1.0	1.2
20000000	10000	2000	23	1	2	comp:drift	6.8	3.4	3.93	2000.0	16.07
20000000	10000	2000	23	1	2	comp:histo	8.44	4.22	3.82	2000.0	19.94
20000000	10000	2000	23	1	2	comp:kick	21.04	10.52	9.64	2000.0	49.7
20000000	10000	2000	23	1	2	Other	0.22	220.61	0.0	1.0	0.52
20000000	10000	2000	23	1	2	total_time	42.33	42330.0	0.0	1.0	100.0
20000000	10000	2000	25	1	2	comm:bcast	0.33	0.05	25.38	6001.0	0.82
20000000	10000	2000	25	1	2	comm:gather	0.21	205.83	0.0	1.0	0.51
20000000	10000	2000	25	1	2	comm:histo_extra	3.24	1.62	155.63	2000.0	8.05
20000000	10000	2000	25	1	2	comm:recv_task	2.87	0.24	1481.83	12004.0	7.13
20000000	10000	2000	25	1	2	comm:scatter	0.51	508.16	0.0	1.0	1.26
20000000	10000	2000	25	1	2	comp:drift	5.99	3.0	8.67	2000.0	14.89
20000000	10000	2000	25	1	2	comp:histo	7.81	3.9	4.62	2000.0	19.4
20000000	10000	2000	25	1	2	comp:kick	19.06	9.53	10.21	2000.0	47.37
20000000	10000	2000	25	1	2	Other	0.23	225.86	0.0	1.0	0.56
20000000	10000	2000	25	1	2	total_time	40.24	40235.34	0.0	1.0	100.0
20000000	10000	2000	27	1	2	comm:bcast	0.34	0.06	26.33	6001.0	0.93
20000000	10000	2000	27	1	2	comm:gather	0.21	206.22	0.0	1.0	0.57
20000000	10000	2000	27	1	2	comm:histo_extra	1.74	0.87	96.89	2000.0	4.81
20000000	10000	2000	27	1	2	comm:recv_task	2.71	0.23	1581.65	12004.0	7.51
20000000	10000	2000	27	1	2	comm:scatter	0.45	453.81	0.0	1.0	1.26
20000000	10000	2000	27	1	2	comp:drift	5.65	2.83	3.5	2000.0	15.65
20000000	10000	2000	27	1	2	comp:histo	7.2	3.6	2.35	2000.0	19.92
