parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
20000000	10000	2000	57	1	4	total	19.88	100.0	100.0	100.0	0.0
20000000	10000	2000	59	1	4	comm	10.02	41.85	13.67	56.19	9.87
20000000	10000	2000	59	1	4	comp	13.56	57.31	43.1	85.23	9.8
20000000	10000	2000	59	1	4	other	0.2	0.84	0.69	1.14	0.08
20000000	10000	2000	59	1	4	total	23.78	100.0	100.0	100.0	0.0
20000000	10000	2000	61	1	4	comm	6.79	33.82	20.02	46.11	8.24
20000000	10000	2000	61	1	4	comp	12.9	65.18	52.98	78.77	8.17
20000000	10000	2000	61	1	4	other	0.2	1.0	0.81	1.21	0.09
20000000	10000	2000	61	1	4	total	19.89	100.0	100.0	100.0	0.0
20000000	10000	2000	63	1	4	comm	14.24	51.92	26.51	61.42	7.23
20000000	10000	2000	63	1	4	comp	12.81	47.33	37.89	72.38	7.16
20000000	10000	2000	63	1	4	other	0.2	0.75	0.64	1.11	0.09
20000000	10000	2000	63	1	4	total	27.26	100.0	100.0	100.0	0.0
20000000	10000	2000	65	1	4	comm	4.83	27.78	19.09	35.03	5.11
20000000	10000	2000	65	1	4	comp	12.33	71.08	63.91	79.67	5.08
20000000	10000	2000	65	1	4	other	0.2	1.15	0.99	1.38	0.08
20000000	10000	2000	65	1	4	total	17.36	100.0	100.0	100.0	0.0
20000000	10000	2000	67	1	4	comm	8.96	41.93	16.22	48.89	5.78
20000000	10000	2000	67	1	4	comp	12.12	57.12	50.24	82.5	5.75
20000000	10000	2000	67	1	4	other	0.2	0.95	0.85	1.29	0.06
20000000	10000	2000	67	1	4	total	21.28	100.0	100.0	100.0	0.0
20000000	10000	2000	69	1	4	comm	11.14	47.95	25.55	53.17	4.77
20000000	10000	2000	69	1	4	comp	11.74	51.2	45.95	73.06	4.7
20000000	10000	2000	69	1	4	other	0.2	0.85	0.74	1.39	0.08
20000000	10000	2000	69	1	4	total	23.08	100.0	100.0	100.0	0.0
20000000	10000	2000	71	1	4	comm	3.94	24.99	18.65	31.28	4.2
20000000	10000	2000	71	1	4	comp	11.6	73.74	67.46	79.93	4.17
20000000	10000	2000	71	1	4	other	0.2	1.27	1.12	1.42	0.07
20000000	10000	2000	71	1	4	total	15.74	100.0	100.0	100.0	0.0
20000000	10000	2000	73	1	4	comm	9.25	44.55	22.07	47.33	3.87
