parts	slices	turns	n	omp	N	type	avg_time(sec)	avg_percent	min	max	std
10000000	5000	2000	17	1	1	comm	8.48	23.54	5.84	31.46	7.84
10000000	5000	2000	17	1	1	comp	25.49	75.82	67.95	93.39	7.78
10000000	5000	2000	17	1	1	other	0.22	0.65	0.57	0.78	0.06
10000000	5000	2000	17	1	1	total	34.19	100.0	100.0	100.0	0.0
10000000	5000	2000	18	1	1	comm	7.48	22.49	6.13	35.66	8.09
10000000	5000	2000	18	1	1	comp	24.38	76.82	63.72	93.03	8.03
10000000	5000	2000	18	1	1	other	0.22	0.7	0.56	0.84	0.07
10000000	5000	2000	18	1	1	total	32.08	100.0	100.0	100.0	0.0
10000000	5000	2000	19	1	1	comm	15.45	37.93	26.46	47.77	6.74
10000000	5000	2000	19	1	1	comp	24.36	61.43	51.7	72.8	6.66
10000000	5000	2000	19	1	1	other	0.25	0.64	0.51	0.76	0.08
10000000	5000	2000	19	1	1	total	40.08	100.0	100.0	100.0	0.0
